trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
214,False,"{'a': 0.5, 'e': 0.7337298645028764}",25,0,-160.84950494501263,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
215,False,"{'a': 0.5, 'e': 0.7313537016191705}",25,0,-45.326298067733106,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
216,False,"{'a': 0.5, 'e': 0.7289686274214116}",20,0,-57.579404095659946,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
217,False,"{'a': 0.5, 'e': 0.7265746709709759}",30,0,-76.18521001802523,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
218,False,"{'a': 0.5, 'e': 0.7241718614374675}",20,11,3.8008555482093236,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.7217602280983622}",25,13,6.818514560762468,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.7193398003386512}",20,0,-38.08101862857654,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
221,False,"{'a': 0.5, 'e': 0.7169106076504828}",20,0,-101.7989055742286,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
222,False,"{'a': 0.5, 'e': 0.7144726796328034}",30,0,-41.588916903843,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.7120260459909965}",30,8,-135.92313324674717,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 2}",1
224,False,"{'a': 0.5, 'e': 0.7095707365365209}",25,11,-32.16510680181067,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
225,False,"{'a': 0.5, 'e': 0.7071067811865476}",30,0,-122.36258117136866,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
226,False,"{'a': 0.5, 'e': 0.7046342099635946}",30,8,-24.342711299431635,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.7021530529951624}",20,0,-62.90274310227904,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
228,False,"{'a': 0.5, 'e': 0.6996633405133654}",30,0,-91.98426177317843,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
